time,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
2021-01-29 02:20:00,319.4485,319.6809,319.4398,319.1343,319.916,318.1195,319.2789,319.691,319.3986,319.065
2021-01-29 02:22:00,319.4729,319.7173,319.4849,319.1409,319.9958,318.0796,319.3121,319.7743,319.455,319.0817
2021-01-29 02:24:00,319.4849,319.7406,319.5199,319.2187,320.0586,318.1229,319.254,319.776,319.4517,319.1218
2021-01-29 02:26:00,319.5099,319.8038,319.4999,319.1623,320.0719,318.1611,319.3522,319.8142,319.4566,319.1252
2021-01-29 02:28:00,319.5279,319.6759,319.565,319.1956,320.1134,318.1994,319.3272,319.8525,319.5612,319.1853
2021-01-29 02:30:00,319.5432,319.7888,319.6017,319.265,320.1333,318.241,319.3737,319.8775,319.4866,319.1837
2021-01-29 02:32:00,319.5586,319.7935,319.6401,319.2352,320.1152,318.2993,319.5071,319.9525,319.5928,319.1803
2021-01-29 02:34:00,319.5563,319.8501,319.6418,319.2271,320.1399,318.2593,319.4485,319.9525,319.5761,319.2254
2021-01-29 02:36:00,319.6604,319.8964,319.6852,319.2767,320.1947,318.2793,319.4887,319.9525,319.5994,319.2004
2021-01-29 02:38:00,319.4443,319.7588,319.782,319.2634,320.0156,318.3991,319.4237,320.1557,319.4933,319.222
2021-01-29 02:40:00,319.4336,319.696,319.54,319.2634,320.1251,318.2393,319.4837,319.8959,319.4683,319.1803
2021-01-29 02:42:00,319.3951,319.6478,319.5016,319.252,319.9807,318.1928,319.3605,319.8159,319.3869,319.0617
2021-01-29 02:44:00,319.3734,319.6777,319.4448,319.1143,319.9758,318.1395,319.3554,319.8342,319.4185,319.0617
2021-01-29 02:46:00,319.3741,319.6312,319.4414,319.1294,320.0107,318.1378,319.3005,319.7527,319.3554,319.0216
2021-01-29 02:48:00,319.3996,319.6477,319.4448,319.2337,320.0073,318.1761,319.2741,319.736,319.4119,319.04
2021-01-29 02:50:00,319.5676,319.8184,319.5216,319.2585,320.0289,318.1795,319.4287,319.8359,319.4119,319.0617
2021-01-29 02:52:00,319.6682,319.9376,319.6802,319.3827,320.198,318.3392,319.5435,319.9375,319.5314,319.222
2021-01-29 02:54:00,319.6956,320.0391,319.8004,319.4771,320.3026,318.459,319.5936,320.0957,319.6044,319.3139
2021-01-29 02:56:00,319.7233,320.0375,319.9022,319.6031,320.3789,318.4956,319.6736,320.2106,319.6909,319.3824
2021-01-29 02:58:00,319.734,320.1087,319.9407,319.6348,320.3607,318.5589,319.7719,320.254,319.8336,319.4075
2021-01-29 03:00:00,319.7319,320.0887,319.964,319.6099,320.4038,318.6121,319.6219,320.2538,319.754,319.4409
2021-01-29 03:02:00,319.7341,320.0987,319.9407,319.6728,320.4471,318.5988,319.7701,320.2722,319.7422,319.4225
2021-01-29 03:04:00,319.7406,320.1053,319.9423,319.6578,320.4138,318.5955,319.765,320.2739,319.7605,319.4425
2021-01-29 03:06:00,319.7377,319.7456,319.9223,319.6561,320.4203,318.5788,319.8364,320.2556,319.7854,319.4225
2021-01-29 03:08:00,319.8181,319.9611,319.9407,319.6165,320.4949,318.6221,319.7117,320.2772,319.7739,319.4459
2021-01-29 03:10:00,319.5876,319.928,320.0242,319.7325,320.5678,318.6188,319.8932,320.1541,319.7871,319.4024
2021-01-29 03:12:00,319.5427,319.8186,319.8655,319.522,320.402,318.479,319.6585,320.1557,319.6077,319.2053
2021-01-29 03:14:00,319.4266,319.7025,319.7253,319.4026,320.2229,318.3625,319.4937,319.9758,319.5746,319.2053
2021-01-29 03:16:00,319.355,319.5881,319.6218,319.3067,320.0985,318.216,319.3921,319.9325,319.4949,319.1218
2021-01-29 03:18:00,319.326,319.6145,319.5233,319.1822,319.9592,318.0812,319.2405,319.8326,319.4717,319.0417
2021-01-29 03:20:00,319.3182,319.5185,319.4448,319.1675,319.9277,318.0396,319.2571,319.756,319.3554,319.02
2021-01-29 03:22:00,319.2869,319.4736,319.4214,319.1127,319.921,317.9831,319.2572,319.736,319.3736,318.9849
2021-01-29 03:24:00,319.2735,319.4074,319.3213,319.1076,319.8264,317.8599,319.1874,319.6927,319.3138,318.9414
2021-01-29 03:26:00,319.264,319.4885,319.2812,318.9718,319.8331,317.8399,319.1257,319.6544,319.2657,318.9013
2021-01-29 03:28:00,319.5751,318.6594,319.2595,318.9951,319.7436,317.6802,319.1058,319.6111,319.2839,318.9013
2021-01-29 03:30:00,319.1754,318.2617,317.5799,317.8565,319.3786,317.3207,318.0068,318.477,319.1329,318.0011
2021-01-29 03:32:00,318.9797,318.6894,318.3796,318.0521,318.6555,316.9612,318.2267,318.5186,319.0199,318.1398
2021-01-29 03:34:00,319.1429,318.9347,318.6601,318.2624,318.7915,316.9579,318.3182,318.7767,318.8738,318.3368
2021-01-29 03:36:00,319.4411,319.1205,318.7185,318.4713,319.3007,317.4206,318.6996,319.273,319.0913,318.6191
2021-01-29 03:38:00,319.3199,319.2963,319.2795,318.8044,319.6673,317.6436,318.7778,319.338,319.299,318.7577
2021-01-29 03:40:00,319.2887,319.389,319.0792,318.7861,319.6541,317.6968,319.0025,319.4978,319.269,318.8396
2021-01-29 03:42:00,319.3144,319.316,319.2194,318.9171,319.6275,317.76,318.9726,319.4728,319.2457,318.8396
2021-01-29 03:44:00,319.3145,319.3427,319.1609,318.9022,319.6805,317.8599,319.1024,319.5761,319.259,318.8596
2021-01-29 03:46:00,319.33,319.3858,319.201,318.947,319.6407,317.8449,319.0209,319.5345,319.2625,318.8813
2021-01-29 03:48:00,319.3254,319.3709,319.2194,318.9801,319.7171,317.8632,319.0357,319.5778,319.2575,318.8997
2021-01-29 03:50:00,319.326,319.4304,319.2044,318.9419,319.6474,317.8266,319.0824,319.5728,319.3088,318.893
2021-01-29 03:52:00,319.3239,319.3593,319.2194,318.9702,319.6872,317.8283,319.0525,319.5528,319.2988,318.8997
2021-01-29 03:54:00,319.3317,319.4455,319.2194,318.9901,319.722,317.8399,319.0659,319.5728,319.3072,318.8997
2021-01-29 03:56:00,319.3327,319.4155,319.2194,318.985,319.7087,317.8366,319.0291,319.5761,319.3254,318.8997
2021-01-29 03:58:00,319.324,319.3691,319.1994,318.9734,319.7086,317.8599,318.9909,319.5712,319.314,318.8997
2021-01-29 04:00:00,319.3308,319.3874,319.181,318.9734,319.6922,317.8183,319.0808,319.5728,319.3022,318.8997
2021-01-29 04:02:00,319.5361,319.157,319.1844,319.0115,319.6573,317.83,319.0175,319.5545,319.2573,318.8997
2021-01-29 04:04:00,319.2957,319.1902,319.4198,319.0049,319.508,317.8133,318.8661,319.6927,319.342,319.0383
2021-01-29 04:06:00,319.2622,319.3195,319.0808,318.7846,319.5116,317.8133,318.8993,319.5761,319.342,318.8145
2021-01-29 04:08:00,319.2344,319.2233,319.0792,318.7762,319.5495,317.6818,318.8843,319.3147,319.2291,318.8012
2021-01-29 04:10:00,319.2236,318.9464,319.0608,318.7993,319.4716,317.6203,318.8742,319.348,319.2159,318.7811
